file_path,keywords
hardware-fasteners-screws-562860-drive-style-510344-phillips-4294966012-v1.png,phillips
hardware-fasteners-screws-562860-drive-style-5295328677-6-lobe-4296098857-v1.png,6 lobe
hardware-fasteners-screws-562860-drive-style-5295328677-double-ended-4296094441-v1.png,double ended
hardware-fasteners-screws-562860-drive-style-5295328677-external-hex-4296094345-v1.png,external hex
hardware-fasteners-screws-562860-drive-style-5295328677-external-square-4296094427-v1.png,external square
hardware-fasteners-screws-562860-drive-style-5295328677-hex-4296094521-v1.png,hex
hardware-fasteners-screws-562860-drive-style-5295328677-internal-hex-4296094585-v1.png,internal hex
hardware-fasteners-screws-562860-drive-style-5295328677-lox-4296094477-v1.png,lox
hardware-fasteners-screws-562860-drive-style-5295328677-phillips-4296094358-v1.png,phillips
hardware-fasteners-screws-562860-drive-style-5295328677-phillips-slotted-4296094468-v1.png,phillips slotted
hardware-fasteners-screws-562860-drive-style-5295328677-phillips-square-4296094400-v1.png,phillips square
hardware-fasteners-screws-562860-drive-style-5295328677-pin-in-star-4296094312-v1.png,pin in star
hardware-fasteners-screws-562860-drive-style-5295328677-security-torx-4296094680-v1.png,security torx
hardware-fasteners-screws-562860-drive-style-5295328677-slotted-4296094277-v1.png,slotted
hardware-fasteners-screws-562860-drive-style-5295328677-t-star-plus-4296094689-v1.png,t star plus
hardware-fasteners-screws-562860-drive-style-5295328677-tri-wing-4296094256-v1.png,tri wing
hardware-fasteners-screws-562860-fastener-type--screw-cover--v1.png,screw cover
hardware-fasteners-screws-562860-features-587081-coated-4295291747-v1.png,
hardware-fasteners-screws-562860-features-587081-self-drilling-4295290986-v1.png,drilling
hardware-fasteners-screws-562860-features-587081-self-tapping-4295289557-v1.png,tapping
hardware-fasteners-screws-562860-features-587081-serrated-edges-4295291735-v1.png,edges
hardware-fasteners-screws-562860-features-587081-tamper-resistant-4295291155-v1.png,resistant
hardware-fasteners-screws-562860-head-style-571657-flat-4294425208-v1.png,flat
hardware-fasteners-screws-562860-head-style-587571-binding-4295189210-v1.png,binding
hardware-fasteners-screws-562860-head-style-587571-dowel-4295189316-v1.png,dowel
hardware-fasteners-screws-562860-head-style-587571-fillister-head-4295189409-v1.png,fillister head
hardware-fasteners-screws-562860-head-style-587571-flange-hex-4295189152-v1.png,flange hex
hardware-fasteners-screws-562860-head-style-587571-flat-undercut-4295189380-v1.png,flat undercut
hardware-fasteners-screws-562860-head-style-587571-hex-4295189384-v1.png,hex
hardware-fasteners-screws-562860-head-style-587571-knurled-4295189411-v1.png,knurled
hardware-fasteners-screws-562860-head-style-587571-low-profile-head-4296110807-v1.png,low profile head
hardware-fasteners-screws-562860-head-style-587571-low-profile-washer-4295189351-v1.png,low profile washer
hardware-fasteners-screws-562860-head-style-587571-modified-truss-4295189333-v1.png,modified truss
hardware-fasteners-screws-562860-head-style-587571-oval-4295189149-v1.png,oval
hardware-fasteners-screws-562860-head-style-587571-pan-head-4295189323-v1.png,pan head
hardware-fasteners-screws-562860-head-style-587571-pancake-head-4295213029-v1.png,pancake head
hardware-fasteners-screws-562860-head-style-587571-round-head-4295189169-v1.png,round head
hardware-fasteners-screws-562860-head-style-587571-spade-4295189406-v1.png,spade
hardware-fasteners-screws-562860-head-style-587571-square-head-4295189291-v1.png,square head
hardware-fasteners-screws-562860-head-style-587571-trim-4295189215-v1.png,trim
hardware-fasteners-screws-562860-head-style-587571-truss-4295189213-v1.png,truss
hardware-fasteners-screws-562860-head-style-587571-truss-head-4295189302-v1.png,truss head
hardware-fasteners-screws-562860-head-style-587571-wafer-head-4295189324-v1.png,wafer head
hardware-fasteners-screws-562860-head-style-587571-washer-head-4295189252-v1.png,washer head
hardware-fasteners-screws-562860-head-style-587571-wing-4295189166-v1.png,wing
hardware-fasteners-screws-562860-indoor-outdoor-508147-indoor-outdoor-4294844044-v1.png,indoor outdoor
hardware-fasteners-screws-562860-interior-exterior-584860-exterior-4295122957-v1.png,exterior
hardware-fasteners-screws-562860-interior-exterior-584860-interior-4295122971-v1.png,interior
hardware-fasteners-screws-562860-size-562860-screw-size--v1.png,size
hardware-fasteners-screws-562861-head-style--serrated-flange-hex--v1.png,serrated flange hex
